Loan_Amount,OS_0,OS_1,OS_2,OS_3,OS_4,OS_5,OS_6,OS_7,OS_8,OS_9,OS_10,OS_11,OS_12,Payment_1,Payment_2,Payment_3,Payment_4,Payment_5,Payment_6,Payment_7,Payment_8,Payment_9,Payment_10,Payment_11,Payment_12,Spend_1,Spend_2,Spend_3,Spend_4,Spend_5,Spend_6,Spend_7,Spend_8,Spend_9,Spend_10,Spend_11,Spend_12,Delq1_1,Delq1_2,Delq1_3,Delq1_4,Delq1_5,Delq1_6,Delq1_7,Delq1_8,Delq1_9,Delq1_10,Delq1_11,Delq1_12,Delq2_1,Delq2_2,Delq2_3,Delq2_4,Delq2_5,Delq2_6,Delq2_7,Delq2_8,Delq2_9,Delq2_10,Delq2_11,Delq2_12,Delq3_1,Delq3_2,Delq3_3,Delq3_4,Delq3_5,Delq3_6,Delq3_7,Delq3_8,Delq3_9,Delq3_10,Delq3_11,Delq3_12,isFraud
300000,110150.44,-0.56,166283.54,136366.5,85437.52,123664.19,5372.19,129327.44,178698.48,275474.12,351894.79,209672.21,69281.45,110151,0,152454,136367,85438,118292,4857,0,0,0,290949,209673,0,166284.1,122536.96,85438.02,123664.67,0,128812.25,49371.04,96775.64,76420.67,148726.42,69282.24,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500000,260815.28,450493.81,529048.3,724748.31,140551.19,182213.78,218742.07,-0.93,92223.53,178361.79,326649.43,490382.92,211080.26,0,0,0,710962,140552,180788,218743,0,86847,178362,0,452207,189678.53,78554.49,195700.01,126764.88,182214.59,217316.29,0,92224.46,172985.26,326649.64,163733.49,172904.34,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
400000,173715.33,173715.33,207507.8,61213.75,211699.7,102961.34,97207.82,195638.83,118489.33,163103,84521.03,229457.55,335166.06,0,170767,205559,0,211700,95476,0,172106,91409,130314,0,0,0,204559.47,59264.95,150485.95,102961.64,89722.48,98431.01,94956.5,136022.67,51732.03,144936.52,105708.51,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400000,85981.38,187.38,160783.98,328858.76,5574.76,78463.57,216649.49,5354.26,106521.36,-0.64,218172.44,35664.44,189396.85,85794,188,0,323284,5575,60706,216650,4160,106522,0,182508,29737,0,160784.6,168074.78,0,78463.81,198891.92,5354.77,105327.1,0,218173.08,0,183469.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,39386.24,170672.7,104896.43,82371.83,100400.21,29194.66,-0.34,120970.69,120970.69,162598.62,138156.57,125527.79,185348.41,0,170673,104897,0,100401,29195,0,0,0,162599,138157,125528,131286.46,104896.73,82372.4,18028.38,29195.45,0,120971.03,0,41627.93,138156.95,125528.22,185348.62,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250000,126765.6,75904.2,124013.48,78308.63,145773.2,80437.26,151637.12,334881.16,91386,91386,113007.95,38676.07,98223.29,126766,0,124014,0,145774,80438,0,334882,0,78823,113008,38677,75904.6,48109.28,78309.15,67464.57,80438.06,151637.86,183244.04,91386.84,0,100444.95,38676.12,98224.22,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,67066.26,160195.77,102618.15,113762.76,228782,228782,89756.68,143572.98,13899.75,60486.2,167528.02,167528.02,26721.36,0,160196,85324,0,0,228782,0,143573,0,0,0,161762,93129.51,102618.38,96468.61,115019.24,0,89756.68,53816.3,13899.77,46586.45,107041.82,0,20955.34,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220000,79177,104954.35,138396.01,277563.01,464233.56,56055.09,123919.32,123919.32,164046.46,177247.54,139640.15,192411.42,332862.53,0,85681,0,0,464234,0,0,0,133080,177248,0,0,25777.35,119122.66,139167,186670.55,56055.53,67864.23,0,40127.14,146281.08,139640.61,52771.27,140451.11,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,109637.35,103583.58,177135.97,-0.03,101285.15,-0.85,64610.69,74360.65,107957.03,210343.52,90466.04,116769.26,23080.26,82888,0,177136,0,101286,0,64611,74361,0,174933,70425,93689,76834.23,73552.39,0,101285.18,0,64611.54,74360.96,107957.38,102386.49,55055.52,96728.22,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,88956.35,229852.77,229852.77,66642.4,129702.26,129702.26,134191.26,134191.26,142065.53,106135.04,80291.65,67877.79,86998.93,0,0,229853,0,0,129703,0,129635,142066,106136,80292,0,140896.42,0,66642.63,63059.86,0,134192,0,137509.27,106135.51,80292.61,67878.14,19121.14,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,21212.63,4405.87,25603.87,51518.37,54921.68,26408.46,33100.47,34375.85,52835.14,99859.36,111352.87,39181.88,39181.88,21213,4406,0,38647,50301,0,26871,0,0,0,93868,0,4406.24,25604,25914.5,42050.31,21787.78,6692.01,28146.38,18459.29,47024.22,11493.51,21697.01,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,107288.94,-0.06,40443.89,79750.49,155113.9,270018.08,69533.96,115974.2,171341.64,79632.44,79632.44,79632.44,87343.95,107289,0,40444,0,0,270019,69534,0,171342,0,0,79633,0,40443.95,79750.6,75363.41,114904.18,69534.88,115974.24,55367.44,79632.8,0,0,87344.51,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80000,37873.56,42674.32,74972.66,49069.89,74763.18,-0.82,42203.39,98182.86,123473.16,36028.64,33425.26,60662.05,20395.33,37874,0,74973,0,74764,0,0,0,123474,34583,0,60663,42674.76,32298.34,49070.23,25693.29,0,42204.21,55979.47,25290.3,36029.48,31979.62,27236.79,20396.28,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,54857.01,91495.42,-0.58,35182.46,63594.69,123598.23,4247.86,555.86,56052.49,90016.89,38832.6,48049.84,93878.44,0,91496,0,35183,0,122626,3692,0,53353,84859,0,0,36638.41,0,35183.04,63595.23,60003.54,3275.63,0,55496.63,87317.4,33674.71,9217.24,45828.6,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,74926.01,100341.34,213570.22,47550.85,122564.92,189829.03,252893.84,353976.31,52185.32,96710.63,154217.97,113606.09,202663.25,69895,0,206252,0,0,0,0,353977,52186,0,136077,0,95310.33,113228.88,40232.63,75014.07,67264.11,63064.81,101082.47,52186.01,96711.31,57507.34,95465.12,89057.16,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,59534.29,97393.11,-0.89,-0.89,38135.95,-0.05,63592.89,74096.1,39446.81,68885.74,84850.15,83689.15,177071.88,59535,97394,0,0,38136,0,63593,60883,0,68886,84851,0,97393.82,0,0,38136.84,0,63592.94,74096.21,26233.71,29438.93,84850.41,83690,93382.73,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280000,110403.64,106583.7,86863.26,74651.8,232240.75,264021.48,392375.81,180598.67,152251.89,178207.46,263088.54,152751.4,185833.63,100089,84413,78626,0,223303,0,354905,138872,152252,0,229366,0,96269.06,64692.56,66414.54,157588.95,255083.73,128354.33,143127.86,110525.22,178207.57,84881.08,119028.86,33082.23,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600000,223833.29,180395.84,379727.99,724413.9,85355.6,194004.19,186758.58,-0.42,179015.26,210206.95,497418.95,686390.74,463814.44,218812,180396,0,724414,85356,194005,186759,0,179016,0,0,686391,175374.55,379728.15,344685.91,85355.7,194004.59,186759.39,0,179015.68,210207.69,287212,188971.79,463814.7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,43530.29,59219.02,11698.02,84118.75,106490.76,148302.82,-0.18,-0.18,54288.67,125613.76,201634.6,104056.43,121744.49,43531,47521,0,70317,0,148303,0,0,49563,0,201635,104057,59219.73,0,72420.73,92689.01,41812.06,0,0,54288.85,120888.09,76020.84,104056.83,121745.06,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130000,37086.33,11656.11,46144.45,43578.58,36552.26,58399.61,40294.22,47999.86,91712.73,146836.59,2754.54,45370.72,128796.32,37087,11657,41040,43579,36553,58400,40295,48000,0,146837,2755,45371,11656.78,46145.34,38474.13,36552.68,58400.35,40294.61,48000.64,91712.87,55123.86,2754.95,45371.18,128796.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131000,60969.43,98526.18,167434.45,213965.28,279977.65,11718.94,35479.19,-0.81,54077.72,54077.72,11536.48,40956.25,16328.3,0,0,0,0,279978,11719,35480,0,0,54078,11537,40957,37556.75,68908.27,46530.83,66012.37,11719.29,35479.25,0,54078.53,0,11536.76,40956.77,16329.05,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
159000,70216.62,92453.45,84798.19,99957.1,86792.29,52870.85,105063.89,63920.92,115398.33,90395.64,135532.05,109408.23,-0.77,70217,92454,84799,81916,86793,0,105064,0,115399,0,135533,109409,92453.83,84798.74,99957.91,68751.19,52871.56,52193.04,63921.03,51477.41,90396.31,45136.41,109409.18,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250000,145988.79,70077.74,114950.36,127386.87,110834.9,217983.17,101294.34,126825.22,137918.39,37228.26,139945.14,263976.15,-0.85,145989,60253,114951,127387,0,201063,101295,116399,137919,0,0,263977,70077.95,105125.62,127387.51,110835.03,107148.27,84374.17,126825.88,127492.17,37228.87,102716.88,124031.01,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,79270.95,114735.9,239742.46,304257.72,223318.68,223318.68,305048.04,86576.68,86576.68,163210.71,24490.71,28512.61,113596.49,62712,0,0,275383,0,0,305049,0,0,138720,24491,28513,98176.95,125006.56,64515.26,194443.96,0,81729.36,86577.64,0,76634.03,0,28512.9,113596.88,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,84163.23,86731.87,121817.03,66413.39,169772.1,112448.77,64895.38,71959.88,165966.97,143038.53,137410.54,75749.12,182682.32,84164,0,112766,0,167244,112449,64896,0,144027,131394,136083,75750,86732.64,35085.16,57362.36,103358.71,109920.67,64895.61,71960.5,94007.09,121098.56,125766.01,74421.58,182683.2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,85919.05,127407.16,205921.83,113216.54,184911.52,82090.03,-0.97,42018.13,9983.13,60069.22,221191.8,325245.13,180804.91,80434,0,205922,0,179183,82091,0,32035,7493,0,0,247823,121922.11,78514.67,113216.71,71694.98,76361.51,0,42019.1,0,57579.09,161122.58,104053.33,103382.78,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,82059.92,153731.54,101998.13,76928.57,-0.43,-0.43,118728.9,198797.42,119790.61,95009.96,78972.65,93909.89,241165.53,0,153732,101999,76929,0,0,0,198798,119791,95010,78973,0,71671.62,101998.59,76929.44,0,0,118729.33,80068.52,119791.19,95010.35,78972.69,93910.24,147255.64,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310000,89600.7,66091.25,146206.53,86188.84,261830.61,141053.02,88573.95,83670.45,122803.04,74546.24,83707.76,266496.7,35592.16,89601,66092,146207,82165,261831,141054,88574,83671,122804,74547,0,266497,66091.55,146207.28,86189.31,257806.77,141053.41,88574.93,83670.5,122803.59,74547.2,83708.52,182788.94,35592.46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,94069.26,47239.28,104061.81,166959.37,8027.4,137410.52,187050.05,-0.95,76046.01,29663.08,112704.92,104266.92,123740.93,71143,47187,0,166960,0,0,187051,0,70034,29132,110996,0,24313.02,104009.53,62897.56,8028.03,129383.12,49639.53,0,76046.96,23651.07,112173.84,102558,19474.01,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000,39001.58,75708.54,41477.96,86968.19,55217.3,27047.54,90184.71,24980.48,29240.87,19901.36,53012.09,81116.49,46357.86,0,70566,0,86969,55218,0,90185,24981,22866,16112,0,65386,36706.96,36335.42,45490.23,55218.11,27048.24,63137.17,24980.77,29241.39,13526.49,49222.73,28104.4,30627.37,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190000,66848.17,188719.03,50958.84,114420.86,79049.65,94652.21,42575.7,77990.91,143572.07,28668.07,64946.98,100680.44,119476,0,187897,0,114421,0,94653,40285,0,114904,28669,56026,100681,121870.86,50136.81,63462.02,79049.79,15602.56,42576.49,75700.21,65581.16,0,64947.91,91759.46,119476.56,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,84296.38,65149.31,154088.03,212303.35,233655.53,132418.73,45496.02,45496.02,70293.07,-0.93,125771.92,67796.38,176699.38,84297,0,0,0,196213,132419,0,37750,70294,0,125772,51097,65149.93,88938.72,58215.32,21352.18,94976.2,45496.29,0,62547.05,0,125772.85,67796.46,160000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180000,62398.11,89712.03,101451.68,87215.73,156841.82,97188.75,184933.03,32228.32,70832.38,40248.72,179988.88,129610.16,81961.57,62399,74575,101452,0,148951,0,184934,32229,70582,0,145815,129611,89712.92,86314.65,87216.05,69626.09,89297.93,87744.28,32229.29,70833.06,39998.34,139740.16,95436.28,81962.41,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,64906.7,136696.32,179746.19,92771.88,83958.92,40482.25,103835.79,165358.53,148404.69,122027.03,129138.75,162684.93,195277.94,0,136697,179747,92772,83959,0,0,165359,148405,0,0,0,71789.62,179746.87,92772.69,83959.04,40482.33,63353.54,61522.74,148405.16,122027.34,7111.72,33546.18,32593.01,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,32748.49,41387.78,41387.78,87185.3,24733.63,18459.03,33598.79,57246.03,43594.01,63775.79,72938.17,22979.22,24604.78,32749,0,0,87186,24734,18460,33599,50990,43595,63776,61404,22980,41388.29,0,45797.52,24734.33,18459.4,33599.76,57246.24,37337.98,63776.78,72938.38,11445.05,24605.56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000,30522.11,25820.37,9708.8,26151.92,-0.08,42604.91,41613.88,29786.43,33197.61,45620.01,17474.01,29714.89,16319.59,30523,25821,9709,26152,0,42605,41614,0,0,45621,17475,28967,25821.26,9709.43,26152.12,0,42604.99,41613.97,29786.55,3411.18,12422.4,17475,29715.88,15571.7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75000,29723.9,37427.67,26723.69,22396.99,24286.91,35031.71,42887.67,-0.33,8483.22,189.22,15998.18,52617.97,57618.9,24506,37428,22541,22397,24287,29086,42888,0,8294,190,0,47327,32209.77,26724.02,18214.3,24286.92,35031.8,36941.96,0,8483.55,0,15998.96,36619.79,52327.93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320000,100287.6,100287.6,100287.6,176857.29,181345.39,192561.69,301460.12,477165.8,231617.85,39368.53,61473.86,-0.14,143321.97,0,0,0,160845,180021,0,0,387256,231618,39369,61474,0,0,0,76569.69,165333.1,191237.3,108898.43,175705.68,141708.05,39368.68,61474.33,0,143322.11,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,49074.87,78659.46,48774.25,48774.25,45985.76,30389.67,80410.13,123972.37,27824.46,49628.25,58473.68,113429.89,81661.81,0,78660,0,48775,43247,0,0,123973,0,49629,0,113430,29584.59,48774.79,0,45986.51,27650.91,50020.46,43562.24,27825.09,21803.79,58474.43,54956.21,81661.92,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,68927.29,76061.24,199792.67,294719.18,163072.64,51440.76,687.76,61200.18,105306.51,19215.51,61085.7,61348.77,73465.75,54786,0,0,221392,163073,50753,0,47324,86091,19216,0,56448,61919.95,123731.43,94926.51,89745.46,51441.12,0,60512.42,91430.33,0,61086.19,263.07,68564.98,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369500,162805.43,338382.49,166556.65,114517.69,228636.37,237047.84,286884.93,364822.38,216930.57,224116.09,231520.9,-0.1,273593.88,0,338383,166557,114518,228637,203355,0,344621,216931,224117,231521,0,175577.06,166557.16,114518.04,228636.68,237048.47,253192.09,77937.45,196729.19,224116.52,231521.81,0,273593.98,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460000,203471.93,257674.73,13135.29,184909.58,573751.48,161647.01,205953.66,326969,587033.38,135910.89,281603.11,230300.71,-0.29,203472,257675,13136,0,573752,161648,183674,0,526712,135911,281604,230301,257674.8,13135.56,184910.29,388841.9,161647.53,205954.65,304689.34,260064.38,75589.51,281603.22,230301.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,87687.17,91727.6,121598.93,199979.28,128281.41,227314.01,111055.19,205336.42,122070.57,55458.07,130085.9,-0.1,127340.28,87205,81902,0,165185,0,190943,0,186805,122071,55459,130086,0,91245.43,111773.33,78380.35,93487.13,99032.6,74684.18,94281.23,103539.15,55458.5,130086.83,0,127340.38,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,76290.85,63705.65,76771.88,85978.8,25582.28,75417.22,18688.44,-0.56,43145.55,28182.23,54464.59,45092.42,45092.42,76291,0,0,67645,0,75418,18689,0,43146,21591,50206,0,63705.8,13066.23,9206.92,7248.48,49834.94,18689.22,0,43146.11,28182.68,47873.36,40833.83,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,46888.95,-0.05,15859.23,35340.66,59088.61,129818.15,174719.2,99322.19,55065.49,46451.42,87728.28,135017.25,123276.13,46889,0,0,0,0,0,174720,92589,55066,0,0,129289,0,15859.28,19481.43,23747.95,70729.54,44901.05,99322.99,48332.3,46451.93,41276.86,47288.97,117547.88,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
150000,90511.03,-0.97,6222.8,99863.76,175606.16,62020.69,-0.31,61379.19,70319.25,107669.1,64142.16,69048.94,97339.23,90512,0,0,0,175607,62021,0,61380,70320,102233,0,61016,0,6223.77,93640.96,75742.4,62021.53,0,61379.5,70320.06,107669.85,58706.06,4906.78,89306.29,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250000,113376.91,144031.83,72535.27,169555.32,263586.83,87284.41,246304.36,44399.12,79213.44,149167.07,49836.59,7152.59,20826.8,113377,144032,0,0,260287,87285,246305,44400,0,149168,42684,7153,144031.92,72535.44,97020.05,94031.51,83984.58,246304.95,44399.76,79214.32,69953.63,49837.52,0,20827.21,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
